Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug_lo|beta	drug_lo|z	drug_lo|p-value	drug_lo|fdr	drug_lo|wald-p-value	drug_lo|wald-fdr	drug_hi|beta	drug_hi|z	drug_hi|p-value	drug_hi|fdr	drug_hi|wald-p-value	drug_hi|wald-fdr
C17orf104	4	0.028869	0.23481	0.84086	0.98684	0.81435	0.99722	-0.083551	-0.66786	0.63654	0.99214	0.50422	0.81657	-0.12267	-0.98058	0.52849	0.94521	0.3268	0.6277
C17orf107	4	-0.22931	-2.0883	0.14538	0.82946	0.036773	0.69504	0.12701	1.1372	0.4224	0.99214	0.25544	0.61915	0.13813	1.2368	0.44008	0.94521	0.21615	0.52157
C17orf49	4	0.24252	1.3418	0.045187	0.58696	0.17967	0.8022	0.030154	0.16395	0.87819	0.99214	0.86977	0.98256	0.057148	0.31073	0.74067	0.96923	0.75601	0.8924
C17orf62	4	-0.035614	-0.25748	0.78389	0.98684	0.79681	0.99722	0.31439	2.2339	0.058939	0.4918	0.025487	0.22367	0.2323	1.6506	0.24558	0.94521	0.098811	0.38393
C17orf64	4	0.056009	0.5118	0.63458	0.98133	0.60879	0.9806	0.12054	1.0823	0.4558	0.99214	0.27913	0.6458	0.015858	0.14238	0.94695	0.98377	0.88678	0.94182
C17orf67	4	-0.019967	-0.12181	0.87033	0.98684	0.90305	0.99722	0.23182	1.39	0.17682	0.99214	0.16454	0.54383	0.39383	2.3614	0.10609	0.94521	0.018205	0.1343
C17orf72	4	0.097401	0.86114	0.39882	0.92273	0.38916	0.88898	-0.25275	-2.1964	0.23969	0.99214	0.02806	0.23346	-0.21199	-1.8422	0.36739	0.94521	0.06544	0.30008
C17orf74	4	0.056212	0.44311	0.63458	0.98133	0.65768	0.98139	0.15708	1.2159	0.34185	0.99214	0.22403	0.60034	-0.028776	-0.22273	0.87426	0.98144	0.82375	0.91368
C17orf80	4	0.050324	0.43626	0.66405	0.98133	0.66265	0.98334	-0.10768	-0.91768	0.53831	0.99214	0.35879	0.73343	-0.055124	-0.46981	0.76031	0.97487	0.63849	0.8347
C17orf82	4	-0.0063653	-0.060995	0.95088	0.99406	0.95136	0.99722	0.015388	0.14496	0.95088	0.99214	0.88474	0.98256	0.0088458	0.083332	0.97839	0.98814	0.93359	0.96088
C17orf85	4	-0.12971	-1.257	0.39489	0.92273	0.20877	0.81482	0.031952	0.30439	0.8723	0.99214	0.76083	0.95804	0.042566	0.40552	0.81925	0.97887	0.6851	0.85949
C18orf21	4	0.27075	1.7052	0.02947	0.51515	0.088151	0.76049	-0.11687	-0.72338	0.51473	0.99214	0.46945	0.79385	-0.095472	-0.59095	0.611	0.94521	0.55456	0.78191
C18orf25	4	-0.11582	-1.0723	0.44597	0.94286	0.28356	0.84315	-0.068939	-0.6275	0.68959	0.99214	0.53033	0.83117	-0.059246	-0.53927	0.74263	0.96923	0.5897	0.79764
C18orf54	4	0.098716	0.62579	0.39686	0.92273	0.53146	0.94255	0.08776	0.54663	0.60904	0.99214	0.58463	0.86435	0.24464	1.5238	0.21611	0.94521	0.12755	0.43166
C19orf10	4	-0.057289	-0.55791	0.67976	0.98133	0.57691	0.96686	0.031206	0.29868	0.87623	0.99214	0.76518	0.95804	0.027567	0.26385	0.8998	0.98144	0.7919	0.89972
C19orf24	4	0.16494	1.1721	0.17878	0.82946	0.24115	0.82146	0.016472	0.11505	0.94695	0.99214	0.90841	0.98655	-6.5459e-05	-0.00045721	0.98232	0.98814	0.99964	0.99964
C19orf25	4	0.067051	0.49158	0.57564	0.95899	0.62302	0.98139	-0.1512	-1.0894	0.41454	0.99214	0.27598	0.64349	0.092704	0.66794	0.60118	0.94521	0.50417	0.74383
C19orf33	4	0.081186	0.57503	0.50295	0.95286	0.56527	0.96083	0.05058	0.35195	0.77014	0.99214	0.72487	0.94363	0.26321	1.8316	0.19057	0.94521	0.067013	0.30215
C19orf35	4	-0.030129	-0.33065	0.80943	0.98684	0.74091	0.99722	-0.092672	-0.99941	0.58153	0.99214	0.3176	0.69447	-0.06534	-0.70465	0.72495	0.96923	0.48103	0.72659
C19orf38	4	0.0063185	0.048371	0.97446	0.99406	0.96142	0.99722	-0.23255	-1.75	0.27505	0.99214	0.080123	0.38326	-0.25702	-1.9342	0.29077	0.94521	0.053093	0.25153
C19orf40	4	0.12949	0.91331	0.28684	0.91824	0.36108	0.88807	-0.014394	-0.099767	0.93517	0.99214	0.92053	0.98655	0.18528	1.2842	0.33202	0.94521	0.19906	0.50044
C19orf45	4	0.11008	0.7408	0.36346	0.92273	0.45882	0.91193	0.24849	1.6431	0.15128	0.91667	0.10035	0.42924	-0.00087263	-0.0057702	0.98035	0.98814	0.9954	0.99932
C19orf55	4	0.28713	1.4272	0.021611	0.47826	0.15351	0.77398	0.048293	0.23531	0.77603	0.99214	0.81397	0.96453	0.27283	1.3295	0.18271	0.94521	0.1837	0.49312
C19orf59	4	-0.10488	-0.8249	0.47937	0.95286	0.40943	0.89196	-0.11387	-0.88018	0.51866	0.99214	0.37876	0.7359	-0.15999	-1.2367	0.46758	0.94521	0.21621	0.52157
C19orf70	4	-0.12575	-1.0931	0.41061	0.93304	0.27436	0.83734	0.18444	1.5755	0.27701	0.99214	0.11515	0.46769	0.22649	1.9347	0.25344	0.94521	0.053033	0.25153
C19orf80	4	0.14442	0.85557	0.23183	0.85507	0.39224	0.88898	-0.062451	-0.36345	0.7112	0.99214	0.71627	0.93848	0.067131	0.3907	0.70138	0.95968	0.69602	0.85949
C19orf81	4	-0.12267	-1.2006	0.42436	0.94286	0.22989	0.82146	-0.0059262	-0.057025	0.96464	0.99214	0.95453	0.98751	-0.03206	-0.30849	0.86248	0.98144	0.75771	0.8924
C1orf101	4	-0.39622	-3.1679	0.031434	0.51515	0.0015356	0.060123	-0.012037	-0.094604	0.95088	0.99214	0.92463	0.98655	0.17316	1.361	0.33988	0.94521	0.17351	0.48362
C1orf109	4	0.2519	1.8032	0.037328	0.55882	0.07136	0.75388	-0.15258	-1.0735	0.41257	0.99214	0.28305	0.65192	-0.15841	-1.1145	0.47151	0.94521	0.26506	0.59434
C1orf112	4	-0.014171	-0.14032	0.89194	0.98696	0.88841	0.99722	-0.23763	-2.3109	0.26523	0.99214	0.020839	0.19722	-0.18295	-1.7792	0.4224	0.94521	0.075213	0.32171
C1orf158	4	-0.14667	-1.5938	0.34185	0.92273	0.11099	0.76907	0.20462	2.1849	0.24165	0.99214	0.028896	0.23346	0.21026	2.2451	0.28684	0.94521	0.024761	0.16158
C1orf162	4	-0.025091	-0.22616	0.83694	0.98684	0.82107	0.99722	-0.22333	-1.9774	0.2888	0.99214	0.047997	0.31321	-0.22359	-1.9797	0.34971	0.94521	0.047738	0.24419
C1orf168	4	-0.2051	-1.7446	0.19057	0.82946	0.081055	0.76049	0.23121	1.9334	0.17682	0.99214	0.053184	0.32926	0.1128	0.94327	0.51473	0.94521	0.34554	0.65141
C1orf172	4	-0.0098234	-0.093667	0.92141	0.99406	0.92537	0.99722	-0.020357	-0.19084	0.90177	0.99214	0.84865	0.97508	-0.013753	-0.12893	0.93124	0.98144	0.89741	0.94182
C1orf173	4	-0.0081493	-0.080217	0.94106	0.99406	0.93606	0.99722	-0.14884	-1.4405	0.42633	0.99214	0.14972	0.52195	-0.18506	-1.7911	0.41847	0.94521	0.073281	0.3161
C1orf174	4	0.12167	0.85262	0.31434	0.92273	0.39387	0.88898	-0.072909	-0.50147	0.67387	0.99214	0.61604	0.88328	0.1565	1.0767	0.38507	0.94521	0.28159	0.60223
C1orf177	4	0.10278	0.98476	0.38703	0.92273	0.32474	0.86298	-0.24528	-2.3094	0.24951	0.99214	0.020923	0.19722	-0.24438	-2.3009	0.30452	0.94521	0.0214	0.14816
C1orf186	4	0.019294	0.20262	0.88409	0.98684	0.83944	0.99722	-0.16935	-1.7474	0.39096	0.99214	0.080567	0.38326	-0.1126	-1.1619	0.55796	0.94521	0.24527	0.56624
C1orf189	4	0.087208	0.75084	0.45972	0.94378	0.45275	0.91193	-0.054035	-0.45722	0.74067	0.99214	0.64752	0.90367	0.042841	0.36251	0.81729	0.97887	0.71697	0.86479
C1orf192	4	-0.066852	-0.65134	0.63654	0.98133	0.51483	0.93876	0.00048292	0.0046253	0.99018	0.99214	0.99631	0.99885	0.049354	0.4727	0.78193	0.97602	0.63643	0.8347
C1orf21	4	-0.20119	-1.7964	0.19843	0.82946	0.072435	0.75388	0.31477	2.7617	0.058939	0.4918	0.00575	0.071384	0.17646	1.5482	0.33792	0.94521	0.12158	0.42097
C1orf210	4	-0.10211	-0.80918	0.48919	0.95286	0.41841	0.89618	0.18277	1.424	0.27898	0.99214	0.15446	0.53121	0.12248	0.95423	0.48527	0.94521	0.33997	0.64401
C1orf216	4	0.0015137	0.015303	0.98625	0.99406	0.98779	0.99722	-0.087407	-0.86851	0.61886	0.99214	0.38511	0.73693	-0.043525	-0.43249	0.80943	0.97887	0.66538	0.84776
C1orf227	4	-0.040894	-0.38816	0.74853	0.9845	0.6979	0.98607	0.064072	0.59783	0.7053	0.99214	0.54995	0.84826	0.1606	1.4985	0.37721	0.94521	0.13399	0.43166
C1orf228	4	-0.28135	-1.6216	0.090373	0.74194	0.10488	0.76907	0.40397	2.2883	0.013752	0.14583	0.02212	0.19862	0.48384	2.7408	0.070727	0.75	0.0061291	0.058862
C1orf233	4	0.22627	1.2979	0.053045	0.58696	0.19432	0.81482	-0.015228	-0.085771	0.92927	0.99214	0.93165	0.98655	0.10714	0.60352	0.53831	0.94521	0.54616	0.7787
C1orf50	4	-0.0063819	-0.058744	0.95088	0.99406	0.95316	0.99722	-0.041279	-0.37352	0.79175	0.99214	0.70876	0.93732	0.076906	0.69591	0.65619	0.94521	0.48648	0.7283
C1orf51	4	-0.0035902	-0.031947	0.96464	0.99406	0.97451	0.99722	0.15384	1.3453	0.34774	0.99214	0.17853	0.55459	-0.013209	-0.11551	0.93124	0.98144	0.90804	0.94988
C1orf52	4	-0.006338	-0.044264	0.95088	0.99406	0.96469	0.99722	0.011102	0.076215	0.96071	0.99214	0.93925	0.98655	0.10035	0.68891	0.55796	0.94521	0.49088	0.73272
C1orf56	4	-0.097526	-1.0268	0.49902	0.95286	0.30449	0.84968	-0.13434	-1.3908	0.46365	0.99214	0.16429	0.54383	-0.060318	-0.62445	0.74263	0.96923	0.53233	0.77305
C1orf61	4	0.057404	0.39027	0.62868	0.98133	0.69634	0.98607	0.11937	0.79761	0.46169	0.99214	0.4251	0.76051	0.17683	1.1816	0.33792	0.94521	0.23736	0.5567
C1orf63	4	0.16484	1.5768	0.17878	0.82946	0.11483	0.76907	-0.24334	-2.287	0.25344	0.99214	0.022198	0.19862	-0.30031	-2.8223	0.23969	0.94521	0.0047684	0.049533
C1orf74	4	0.059459	0.44532	0.61493	0.97813	0.65609	0.98139	0.21495	1.5816	0.21611	0.99214	0.11374	0.4669	-0.084371	-0.62077	0.65029	0.94521	0.53475	0.77305
C1orf85	4	0.25606	1.6604	0.033399	0.51515	0.096838	0.76049	-0.0010112	-0.006441	0.97839	0.99214	0.99486	0.99885	-0.19788	-1.2604	0.39882	0.94521	0.20753	0.51495
C1orf94	4	-0.017261	-0.14557	0.87426	0.98684	0.88426	0.99722	-0.0030923	-0.025631	0.97446	0.99214	0.97955	0.99218	0.17771	1.473	0.33792	0.94521	0.14075	0.45058
C1orf95	4	0.14425	1.2973	0.23183	0.85507	0.19452	0.81482	-0.047232	-0.4175	0.76817	0.99214	0.67631	0.91712	-0.16975	-1.5004	0.44204	0.94521	0.13351	0.43166
C20orf112	4	-0.19745	-1.4518	0.20039	0.82946	0.14656	0.76907	0.32321	2.3351	0.053045	0.46552	0.019539	0.19126	0.19739	1.426	0.30845	0.94521	0.15386	0.45998
C20orf194	4	-0.059414	-0.54394	0.66601	0.98133	0.58649	0.97238	-0.027545	-0.24795	0.86444	0.99214	0.80417	0.96453	-0.030261	-0.2724	0.87426	0.98144	0.78532	0.89972
C20orf78	4	-0.13259	-1.3143	0.389	0.92273	0.18876	0.81482	0.17554	1.7106	0.29273	0.99214	0.087157	0.4033	0.16622	1.6198	0.36346	0.94521	0.10528	0.40159
C20orf96	4	0.10254	0.95597	0.389	0.92273	0.33909	0.86298	-0.06141	-0.56282	0.71513	0.99214	0.57356	0.86373	-0.041754	-0.38268	0.81925	0.97887	0.70196	0.85949
C21orf2	4	-0.12856	-1.1035	0.39882	0.92273	0.2698	0.83734	-0.079487	-0.67061	0.6444	0.99214	0.50247	0.81657	-0.23001	-1.9405	0.32809	0.94521	0.052323	0.25153
C21orf58	4	0.19664	1.062	0.10413	0.76	0.28826	0.84315	0.070491	0.37388	0.6778	0.99214	0.70849	0.93732	0.20374	1.0807	0.29273	0.94521	0.27984	0.601
C21orf59	4	0.096455	0.90359	0.40275	0.9276	0.36622	0.88807	-0.14089	-1.2971	0.44401	0.99214	0.19461	0.5766	-0.17462	-1.6076	0.43811	0.94521	0.10793	0.40159
C21orf91	4	-0.04286	-0.33971	0.74067	0.98433	0.73408	0.99722	-0.12894	-1.0047	0.47741	0.99214	0.31502	0.69447	0.049833	0.38831	0.77407	0.97602	0.69778	0.85949
C22orf15	4	0.28176	2.4473	0.021611	0.47826	0.014394	0.40928	-0.19489	-1.6623	0.34578	0.99214	0.096446	0.42817	-0.12023	-1.0255	0.53635	0.94521	0.30511	0.6222
C22orf23	4	-0.03514	-0.36794	0.78389	0.98684	0.71292	0.98607	0.01529	0.15736	0.95285	0.99214	0.87496	0.98256	0.0054312	0.055897	0.99411	0.99606	0.95542	0.97457
C22orf26	4	0.15634	1.5274	0.19646	0.82946	0.12667	0.76907	-0.17296	-1.6609	0.38507	0.99214	0.096737	0.42817	-0.37455	-3.5967	0.15914	0.94521	0.00032234	0.0046877
C22orf31	4	-0.15951	-1.3878	0.29666	0.92273	0.16521	0.78469	0.13184	1.1277	0.41061	0.99214	0.25944	0.62586	0.049361	0.4222	0.78193	0.97602	0.67288	0.84776
C22orf43	4	-0.050622	-0.44366	0.70727	0.98133	0.65729	0.98139	-0.1378	-1.1873	0.45383	0.99214	0.23511	0.61011	-0.36405	-3.1366	0.17682	0.94521	0.0017091	0.022306
C2CD2	4	-0.087591	-0.85335	0.53045	0.95286	0.39346	0.88898	0.21519	2.0604	0.21611	0.99214	0.039358	0.27824	0.21284	2.0379	0.28291	0.94521	0.041559	0.23081
C2CD4B	4	0.2171	1.427	0.072692	0.68421	0.15358	0.77398	-0.049217	-0.31793	0.75835	0.99214	0.75054	0.95487	-0.086186	-0.55675	0.6444	0.94521	0.5777	0.79426
C2orf15	4	0.035412	0.23068	0.79568	0.98684	0.81757	0.99722	0.19939	1.2749	0.24951	0.99214	0.20234	0.58626	0.39458	2.5233	0.10609	0.94521	0.011626	0.091044
C2orf42	4	0.12267	0.96051	0.30845	0.92273	0.3368	0.86298	-0.0063082	-0.048556	0.96464	0.99214	0.96127	0.98846	-0.099038	-0.76233	0.60118	0.94521	0.44586	0.71672
C2orf49	4	0.23958	1.22	0.049116	0.58696	0.22248	0.82146	0.13997	0.70049	0.38703	0.99214	0.48362	0.80709	0.12748	0.63794	0.47348	0.94521	0.52351	0.76571
C2orf53	4	-0.074136	-0.64319	0.60118	0.96226	0.5201	0.93876	0.026863	0.22905	0.88802	0.99214	0.81883	0.96453	-0.1793	-1.5287	0.42436	0.94521	0.12633	0.43166
C2orf73	4	0.04919	0.41931	0.6778	0.98133	0.67499	0.98607	0.014925	0.12508	0.95285	0.99214	0.90046	0.98655	-0.0030879	-0.025879	0.9725	0.98814	0.97935	0.99182
C2orf78	4	-0.14761	-1.2611	0.33792	0.92273	0.20727	0.81482	0.31221	2.6211	0.060904	0.5	0.0087657	0.10376	0.08482	0.71204	0.63458	0.94521	0.47644	0.72659
C2orf82	4	0.29991	2.0764	0.015717	0.44444	0.037857	0.69504	-0.12227	-0.83204	0.49509	0.99214	0.40539	0.74651	-0.027812	-0.18926	0.88016	0.98144	0.84989	0.92434
C3orf20	4	-0.13858	-1.193	0.36346	0.92273	0.23286	0.82146	-0.053248	-0.4506	0.7446	0.99214	0.65228	0.90537	-0.063273	-0.53543	0.73477	0.96923	0.59235	0.79764
C3orf30	4	-0.020448	-0.1876	0.8664	0.98684	0.85119	0.99722	-0.10774	-0.97149	0.53831	0.99214	0.33131	0.70424	-0.060731	-0.54762	0.74263	0.96923	0.58395	0.79764
C3orf33	4	-0.1061	-0.85186	0.47544	0.95286	0.39429	0.88898	0.0036623	0.028903	0.99214	0.99214	0.97694	0.99218	0.21039	1.6604	0.28684	0.94521	0.096826	0.38205
C3orf67	4	-0.17676	-1.4202	0.24951	0.87671	0.15555	0.77624	0.20607	1.6278	0.23969	0.99214	0.10357	0.43567	0.072628	0.57369	0.6778	0.94521	0.56618	0.78739
C3orf72	4	-0.091615	-0.94148	0.52063	0.95286	0.34646	0.87589	0.071793	0.72489	0.6778	0.99214	0.46852	0.79385	0.19496	1.9686	0.31827	0.94521	0.048999	0.24419
C4orf21	4	-0.079917	-0.83204	0.56582	0.95899	0.40539	0.89196	0.065791	0.67325	0.69548	0.99214	0.50079	0.81657	0.14316	1.465	0.42436	0.94521	0.14292	0.45185
C4orf27	4	-0.25108	-2.0225	0.11198	0.76	0.043123	0.70805	0.10421	0.82533	0.52063	0.99214	0.40919	0.74651	-0.048235	-0.38201	0.78389	0.97602	0.70245	0.85949
C4orf33	4	0.036222	0.35125	0.78389	0.98684	0.7254	0.99722	0.10453	0.99608	0.52063	0.99214	0.31921	0.69447	-0.16726	-1.5937	0.44401	0.94521	0.11101	0.40214
C4orf36	4	0.22847	1.9874	0.051081	0.58696	0.046876	0.70903	-0.2167	-1.8526	0.29862	0.99214	0.063933	0.33898	-0.31569	-2.6989	0.222	0.94521	0.0069576	0.06324
C4orf6	4	-0.19899	-1.9895	0.19843	0.82946	0.046641	0.70903	0.13777	1.3542	0.389	0.99214	0.17568	0.55459	0.010856	0.1067	0.96857	0.98814	0.91502	0.95245
C5orf34	4	-0.10997	-1.1618	0.46169	0.94378	0.24531	0.82146	0.089802	0.9329	0.59136	0.99214	0.35087	0.72895	-0.041237	-0.42839	0.82318	0.98126	0.66837	0.84776
C5orf45	4	0.069217	0.63178	0.55403	0.95286	0.52753	0.94255	0.071092	0.63775	0.6778	0.99214	0.52363	0.83058	0.027908	0.25035	0.8998	0.98144	0.80231	0.90549
C5orf46	4	0.15923	1.3797	0.19253	0.82946	0.16768	0.78469	-0.031225	-0.26589	0.84086	0.99214	0.79032	0.96238	-0.054322	-0.46257	0.76424	0.97494	0.64367	0.8347
C5orf48	4	-0.093435	-0.63976	0.51081	0.95286	0.52233	0.93945	0.32581	2.1904	0.051081	0.46429	0.028494	0.23346	0.1316	0.88467	0.45187	0.94521	0.37633	0.67802
C5orf54	4	0.088755	0.68336	0.44401	0.94286	0.49438	0.93537	-0.041705	-0.31566	0.78585	0.99214	0.75226	0.95487	0.05184	0.39236	0.76228	0.97487	0.69479	0.85949
C6orf10	4	0.20931	1.2125	0.084479	0.72881	0.22533	0.82146	-0.04244	-0.24157	0.78193	0.99214	0.80912	0.96453	0.18148	1.033	0.33399	0.94521	0.3016	0.61941
C6orf106	4	-0.02902	-0.30163	0.81532	0.98684	0.76293	0.99722	-0.049717	-0.50791	0.75835	0.99214	0.61151	0.87927	-0.068521	-0.70001	0.71316	0.96032	0.48392	0.72659
C6orf118	4	-0.059156	-0.51189	0.66601	0.98133	0.60873	0.9806	-0.0093775	-0.079771	0.95481	0.99214	0.93642	0.98655	0.10328	0.87857	0.55206	0.94521	0.37964	0.67802
C6orf132	4	-0.089464	-0.96973	0.52849	0.95286	0.33218	0.86298	0.02187	0.23293	0.91945	0.99214	0.81581	0.96453	0.12687	1.3513	0.47348	0.94521	0.17661	0.48591
C6orf201	4	0.25513	1.586	0.033399	0.51515	0.11274	0.76907	-0.076206	-0.46514	0.65815	0.99214	0.64183	0.90367	-0.072946	-0.44524	0.68959	0.95393	0.65615	0.84551
C6orf211	4	0.16005	1.2725	0.19057	0.82946	0.20318	0.81482	-0.2823	-2.2047	0.19057	0.99214	0.027473	0.23306	-0.3486	-2.7224	0.19253	0.94521	0.0064804	0.059975
C6orf223	4	-0.11585	-1.0963	0.44597	0.94286	0.27293	0.83734	0.10098	0.93934	0.53242	0.99214	0.34755	0.728	-0.081567	-0.75868	0.66601	0.94521	0.44804	0.71715
C6orf48	4	-0.14291	-1.5366	0.35363	0.92273	0.1244	0.76907	0.19558	2.0673	0.26326	0.99214	0.038706	0.27824	0.13494	1.4263	0.44597	0.94521	0.15378	0.45998
C6orf52	4	0.0094377	0.077893	0.95678	0.99406	0.93791	0.99722	0.099816	0.8091	0.54224	0.99214	0.41845	0.75263	0.26467	2.1456	0.18861	0.94521	0.031908	0.19242
C6orf57	4	0.071417	0.51078	0.54617	0.95286	0.60951	0.9806	0.12369	0.86916	0.44008	0.99214	0.38476	0.73693	0.10432	0.73301	0.54617	0.94521	0.46355	0.726
C6orf62	4	0.099204	0.90574	0.39686	0.92273	0.36507	0.88807	0.047263	0.42386	0.778	0.99214	0.67166	0.91411	0.032195	0.28873	0.88212	0.98144	0.77279	0.89972
C6orf99	4	0.0090208	0.060836	0.95678	0.99406	0.95149	0.99722	-0.069107	-0.45813	0.68762	0.99214	0.64686	0.90367	0.12194	0.80838	0.48527	0.94521	0.41887	0.69448
C7orf10	4	0.10848	1.035	0.36935	0.92273	0.30067	0.84968	-0.093574	-0.87746	0.5776	0.99214	0.38024	0.7359	0.11184	1.0488	0.5167	0.94521	0.29429	0.61375
C7orf25	4	0.242	1.5274	0.045187	0.58696	0.12666	0.76907	0.056894	0.35279	0.7446	0.99214	0.72425	0.94363	-0.056632	-0.35116	0.75049	0.97449	0.72547	0.86885
C7orf29	4	0.13026	0.89918	0.28487	0.91772	0.36856	0.88807	0.030831	0.20913	0.87819	0.99214	0.83434	0.96453	0.19802	1.3432	0.30845	0.94521	0.1792	0.48776
C7orf43	4	0.040956	0.38243	0.74067	0.98433	0.70214	0.98607	0.12472	1.1442	0.43222	0.99214	0.25253	0.61502	0.14157	1.2989	0.42829	0.94521	0.19399	0.49371
C7orf49	4	-0.074564	-0.65605	0.59725	0.95899	0.51179	0.93876	0.061576	0.53254	0.7112	0.99214	0.59435	0.86683	0.14607	1.2633	0.41847	0.94521	0.20648	0.51495
C7orf50	4	0.066035	0.40771	0.5835	0.95899	0.68348	0.98607	0.10109	0.61259	0.53242	0.99214	0.54015	0.83567	0.29091	1.7631	0.16503	0.94521	0.077885	0.32495
C7orf55	4	0.028766	0.20835	0.84086	0.98684	0.83496	0.99722	0.12767	0.90904	0.42043	0.99214	0.36333	0.7359	0.12852	0.91511	0.46562	0.94521	0.36013	0.66901
C8orf22	4	0.089792	0.72245	0.43615	0.94286	0.47002	0.91662	-0.27303	-2.1593	0.20432	0.99214	0.030825	0.23773	-0.27093	-2.1428	0.26916	0.94521	0.032132	0.19242
C8orf34	4	-0.1943	-1.9791	0.20236	0.82946	0.047802	0.70903	0.07839	0.78501	0.65226	0.99214	0.43245	0.76429	0.046285	0.4635	0.79568	0.97602	0.643	0.8347
C8orf37	4	-0.19645	-1.931	0.20236	0.82946	0.053482	0.70903	-0.059163	-0.5715	0.71709	0.99214	0.56766	0.86168	0.085024	0.82133	0.63261	0.94521	0.41146	0.69119
C8orf42	4	-0.11404	-1.0968	0.4499	0.94286	0.27273	0.83734	0.18756	1.7715	0.27112	0.99214	0.076484	0.37077	0.31785	3.0023	0.15128	0.94521	0.0026794	0.031716
C8orf44	4	0.13754	1.1	0.25737	0.89116	0.27134	0.83734	0.034412	0.27053	0.85855	0.99214	0.78675	0.96238	-0.085043	-0.66857	0.64833	0.94521	0.50377	0.74383
C8orf46	4	-0.2421	-1.945	0.12574	0.8	0.051771	0.70903	0.18265	1.4424	0.27898	0.99214	0.14919	0.52195	-0.012387	-0.097817	0.93517	0.98144	0.92208	0.95544
C8orf47	4	0.029174	0.19406	0.8389	0.98684	0.84613	0.99722	0.2393	1.5641	0.16503	0.96552	0.11779	0.47024	0.30327	1.9823	0.15914	0.94521	0.04745	0.24419
C8orf74	4	0.095099	0.79895	0.40864	0.93304	0.42432	0.89618	-0.00047242	-0.0038996	0.98232	0.99214	0.99689	0.99885	-0.085295	-0.70404	0.64833	0.94521	0.48141	0.72659
C8orf76	4	0.087513	0.73865	0.4558	0.94309	0.46012	0.91193	-0.029579	-0.24533	0.85462	0.99214	0.8062	0.96453	-0.08717	-0.723	0.64244	0.94521	0.46968	0.72659
C9orf116	4	0.0643	0.57486	0.59136	0.95899	0.56539	0.96083	-0.12699	-1.1153	0.48134	0.99214	0.26471	0.63256	0.1256	1.1032	0.47544	0.94521	0.26994	0.59942
C9orf117	4	0.15332	1.0212	0.20825	0.82946	0.30715	0.84968	0.10178	0.66611	0.52849	0.99214	0.50534	0.81657	-0.0050405	-0.032986	0.96464	0.98814	0.97369	0.99121
C9orf123	4	0.10274	0.90797	0.38703	0.92273	0.36389	0.88807	-0.075315	-0.65426	0.65815	0.99214	0.51294	0.82623	-0.13571	-1.1789	0.51473	0.94521	0.23843	0.5567
C9orf135	4	0.075514	0.67679	0.53045	0.95286	0.49854	0.93537	-0.02548	-0.22448	0.86837	0.99214	0.82238	0.96453	0.095469	0.84108	0.59136	0.94521	0.4003	0.68835
C9orf142	4	0.014105	0.1201	0.91552	0.99406	0.9044	0.99722	-0.23973	-2.0066	0.25933	0.99214	0.04479	0.29998	-0.072532	-0.60713	0.69155	0.95393	0.54377	0.77746
C9orf153	4	0.033732	0.31901	0.80354	0.98684	0.74972	0.99722	-0.061261	-0.56924	0.71513	0.99214	0.5692	0.86168	0.028777	0.26741	0.89391	0.98144	0.78916	0.89972
C9orf3	4	-0.17609	-1.4433	0.24951	0.87671	0.14893	0.77352	-0.009629	-0.077579	0.95285	0.99214	0.93816	0.98655	-0.16059	-1.2938	0.46562	0.94521	0.19574	0.49568
C9orf37	4	0.071832	0.5728	0.54617	0.95286	0.56678	0.96083	-0.048784	-0.38244	0.76031	0.99214	0.70214	0.93732	0.073709	0.57783	0.67191	0.94521	0.56338	0.78564
C9orf50	4	-0.046271	-0.36796	0.72299	0.98133	0.7129	0.98607	-0.18366	-1.4353	0.36739	0.99214	0.15119	0.5235	-0.13212	-1.0326	0.51866	0.94521	0.3018	0.61941
C9orf64	4	-0.086692	-0.75437	0.53438	0.95286	0.45063	0.91193	0.22508	1.9251	0.19253	0.99214	0.054219	0.32926	0.21102	1.8048	0.28487	0.94521	0.071105	0.30962
C9orf66	4	-0.20963	-1.6701	0.17878	0.82946	0.094897	0.76049	0.11426	0.89469	0.47937	0.99214	0.37095	0.7359	-0.0078448	-0.061427	0.95481	0.98381	0.95102	0.97203
C9orf69	4	0.038	0.3724	0.76621	0.98684	0.7096	0.98607	0.0376	0.36216	0.83694	0.99214	0.71723	0.93848	0.073285	0.70588	0.67191	0.94521	0.48026	0.72659
C9orf72	4	0.14834	0.98192	0.22397	0.84559	0.32614	0.86298	0.095409	0.62083	0.56582	0.99214	0.53471	0.83232	0.078734	0.51232	0.64833	0.94521	0.60843	0.80859
C9orf9	4	-0.094785	-1.0374	0.50688	0.95286	0.29957	0.84968	0.079343	0.85369	0.65029	0.99214	0.39328	0.7414	0.09304	1.0011	0.59725	0.94521	0.31679	0.62543
C9orf91	4	0.11301	1.1724	0.35363	0.92273	0.24104	0.82146	0.031378	0.31986	0.87426	0.99214	0.74907	0.95487	0.05853	0.59666	0.73477	0.96923	0.55074	0.78061
C9orf96	4	-0.053225	-0.54643	0.69745	0.98133	0.58477	0.97238	0.1356	1.3686	0.39882	0.99214	0.17113	0.55459	-0.0082545	-0.083313	0.95285	0.98377	0.9336	0.96088
